SP1,SP2,SP3,SP5,SP6,FS1,FS2,EPS1,TS1,TS2,TS3,TS4,VS1,CP,SE,label
151.47,125.5,2.305,9.936,9.818,8.99,10.179,2411.6,35.57,40.961,38.32,30.363,0.604,2.184,68.039,47.202
191.46,0.43,0,9.974,9.846,0.001,10.176,2936.6,35.492,40.949,38.332,30.375,0.605,2.184,0,47.273
179.09,0.133,0,9.984,9.865,0.005,10.163,2656.2,35.469,40.965,38.32,30.367,0.611,2.184,0,47.25
191.43,0,0,9.947,9.823,0,10.167,2949.4,35.422,40.922,38.324,30.367,0.603,2.185,0,47.332
191.36,0,0,9.964,9.847,0,10.167,2945.8,35.414,40.879,38.332,30.379,0.608,2.178,0,47.213
191.19,0,0,10.009,9.882,0,10.159,2945.8,35.32,40.879,38.324,30.379,0.608,2.188,0,47.372
191.32,0,0,9.971,9.841,0,10.182,2945.8,35.227,40.828,38.348,30.367,0.608,2.177,0,47.273
191.44,0,0,9.939,9.822,0,10.174,2947.6,35.242,40.812,38.332,30.367,0.617,2.18,0,47.438
191.3,0,0,9.977,9.851,0.001,10.161,2945.6,35.16,40.809,38.336,30.375,0.619,2.151,0,46.691
191.41,0,0,9.95,9.838,0.001,10.17,2945.8,35.176,40.785,38.316,30.473,0.619,2.143,69.141,46.599
151.69,123.73,3.305,9.914,9.792,10.474,10.178,2506.2,35.172,40.789,38.336,30.496,0.581,2.156,69.141,46.623
146.38,120.17,2.352,9.935,9.825,7.901,10.164,2346,35.168,40.785,38.336,30.484,0.569,2.166,68.144,46.653
146.13,120.04,2.305,9.952,9.83,7.964,10.174,2342,35.156,40.773,38.359,30.555,0.558,2.128,68.144,46.136
146.05,120.06,2.445,9.896,9.781,8.119,10.186,2345.6,35.187,40.789,38.336,30.566,0.548,2.122,67.791,46.127
146.18,120.17,2.336,9.896,9.769,7.813,10.189,2343.6,35.176,40.785,38.41,30.668,0.544,2.137,67.791,45.948
146.07,120.07,2.359,9.935,9.831,7.814,10.201,2340,35.25,40.773,38.418,30.656,0.534,2.134,67.504,45.935
146.16,120.25,2.242,9.927,9.807,8.065,10.222,2343.6,35.234,40.812,38.5,30.727,0.534,2.142,67.504,45.726
146.1,120.08,2.328,9.902,9.783,7.816,10.234,2343.6,35.316,40.785,38.492,30.816,0.532,2.12,67.657,45.139
146,120.02,2.297,9.915,9.809,7.833,10.243,2341.8,35.316,40.801,38.496,30.898,0.534,2.122,67.657,44.978
146.16,120.13,2.266,9.932,9.819,4.776,10.244,2341.8,35.402,40.809,38.551,30.898,0.555,2.122,54.079,44.937
156.6,130.95,2.32,9.889,9.771,7.616,10.263,2479.4,35.402,40.797,38.559,30.996,0.553,2.087,54.079,44.269
156.23,130.63,2.328,9.892,9.787,7.736,10.26,2480,35.398,40.785,38.547,31.07,0.563,2.085,68.728,44.079
156.19,130.31,2.359,9.929,9.81,7.794,10.265,2481.8,35.441,40.828,38.535,31.078,0.581,2.062,68.728,43.741
156.22,130.35,2.32,9.875,9.768,7.874,10.272,2479.8,35.414,40.863,38.535,31.145,0.595,2.052,68.7,43.375
156.28,130.39,2.352,9.837,9.725,7.804,10.283,2479.6,35.434,40.867,38.5,31.145,0.584,2.021,68.7,42.847
156.23,130.46,2.32,9.891,9.779,7.888,10.267,2479.8,35.48,40.879,38.492,31.215,0.582,1.995,68.74,42.322
156.31,130.51,2.195,9.884,9.767,7.964,10.27,2479.8,35.5,40.809,38.5,31.293,0.585,2.001,68.74,42.322
156.18,130.28,2.273,9.835,9.733,7.653,10.316,2479.8,35.488,40.895,38.5,31.375,0.577,1.979,68.609,41.797
156.09,130.34,2.25,9.857,9.752,7.72,10.331,2481.4,35.559,40.926,38.492,31.465,0.569,1.956,68.609,41.406
156.26,130.27,2.359,9.887,9.786,4.893,10.311,2481.6,35.555,40.949,38.496,31.543,0.577,1.932,56.919,40.924
166.44,140.83,2.219,9.844,9.726,7.684,10.323,2617.4,35.574,40.965,38.496,31.609,0.597,1.916,56.919,40.427
166.41,140.57,2.273,9.81,9.708,7.691,10.331,2623.6,35.652,40.961,38.496,31.711,0.596,1.893,69.443,39.857
166.41,140.49,2.25,9.854,9.748,7.676,10.319,2617.8,35.668,40.984,38.508,31.793,0.603,1.863,69.443,39.517
166.38,140.6,2.227,9.839,9.727,7.888,10.346,2616,35.664,41.02,38.496,31.77,0.605,1.841,69.812,38.999
166.4,140.43,2.391,9.789,9.679,7.909,10.366,2617.8,35.66,41.039,38.492,31.953,0.603,1.828,69.812,38.493
166.27,140.39,2.383,9.81,9.687,7.928,10.356,2619.8,35.734,41.043,38.5,32.043,0.6,1.809,69.521,37.954
166.2,140.49,2.375,9.826,9.726,7.795,10.361,2619.8,35.824,41.043,38.496,32.121,0.604,1.785,69.521,37.552
166.32,140.54,2.305,9.797,9.687,7.752,10.381,2614,35.824,41.043,38.52,32.207,0.624,1.763,69.94,37.084
166.38,140.52,2.336,9.762,9.655,7.629,10.379,2619.4,35.82,41.043,38.496,32.281,0.616,1.74,69.94,36.615
166.35,140.44,2.352,9.81,9.706,10.76,10.374,2621.4,35.836,41.059,38.5,32.348,0.593,1.72,79.568,36.098
156.41,130.54,2.297,9.811,9.699,7.811,10.392,2486,35.836,41.098,38.484,32.43,0.607,1.692,79.568,35.58
156.35,130.63,2.219,9.759,9.65,7.646,10.373,2480,35.828,41.109,38.496,32.523,0.592,1.668,68.664,35.141
156.27,130.38,2.281,9.766,9.665,7.727,10.412,2481.8,35.84,41.121,38.484,32.609,0.585,1.623,68.664,34.184
156.23,130.31,2.375,9.795,9.687,7.76,10.368,2479.8,35.859,41.129,38.484,32.68,0.572,1.623,68.889,34.177
156.16,130.23,2.406,9.75,9.642,7.808,10.392,2481.6,35.918,41.125,38.492,32.758,0.577,1.608,68.889,33.739
156.12,130.21,2.336,9.726,9.615,7.899,10.405,2478,35.914,41.121,38.508,32.84,0.576,1.586,68.677,33.226
156.26,130.45,2.328,9.753,9.646,7.869,10.41,2479.6,35.895,41.129,38.492,32.922,0.568,1.563,68.677,32.913
156.15,130.21,2.32,9.778,9.655,7.835,10.401,2479.6,35.992,41.148,38.508,33.008,0.563,1.538,68.708,32.4
156.23,130.02,2.383,9.727,9.622,7.941,10.408,2481.6,35.98,41.141,38.492,33.094,0.559,1.52,68.708,31.833
156.12,130.13,2.578,9.729,9.606,9.565,10.419,2478,35.98,41.18,38.512,33.09,0.557,1.518,74.427,31.862
151.25,125.34,2.195,9.759,9.658,7.744,10.411,2412,36.008,41.211,38.523,33.18,0.554,1.509,74.427,31.554
151.13,125.31,2.273,9.746,9.628,7.833,10.435,2411.6,35.984,41.129,38.539,33.172,0.552,1.47,68.101,30.953
151.21,125.13,2.406,9.71,9.604,7.91,10.429,2409.6,35.996,41.195,38.578,33.363,0.545,1.458,68.101,30.639
151.31,125.27,2.336,9.736,9.618,8.087,10.374,2413.6,36.039,41.211,38.531,33.34,0.553,1.452,68.42,30.561
151.27,125.4,2.219,9.75,9.651,7.804,10.385,2411.4,36.008,41.207,38.523,33.324,0.553,1.443,68.42,30.368
151.02,125.08,2.266,9.71,9.595,7.752,10.414,2409.6,36.008,41.191,38.566,33.41,0.539,1.449,68.223,30.224
151.1,125.13,2.297,9.689,9.585,7.904,10.401,2409.6,36.094,41.207,38.613,33.504,0.544,1.428,68.223,29.79
151.08,125.09,2.328,9.729,9.627,8.006,10.394,2409.6,36.102,41.207,38.59,33.582,0.545,1.401,68.159,29.261
151.12,125.27,2.242,9.743,9.628,7.907,10.391,2409.6,36.09,41.129,38.578,33.594,0.535,1.402,68.159,29.287
151.25,125.32,2.195,9.692,9.58,7.743,10.413,2407.8,36.152,41.25,38.594,33.555,0.543,1.383,68.264,28.866
151.11,125.06,2.281,9.7,9.592,8.919,10.408,2409.6,36.156,41.258,38.68,33.648,0.59,1.414,68.264,29.208
191.3,0.422,0,9.734,9.628,0.008,10.41,2911.6,36.094,41.277,38.672,33.723,0.61,1.384,0,28.822
191.27,0.039,0,9.712,9.594,0,10.389,2942,35.992,41.262,38.668,33.723,0.626,1.385,0,28.805
191.28,0,0,9.663,9.554,0,10.405,2945.6,36.008,41.223,38.668,33.734,0.62,1.384,0,28.922
191.34,0,0,9.696,9.579,0,10.377,2943.8,35.992,41.211,38.742,33.754,0.623,1.382,0,28.591
191.25,0,0,9.705,9.6,0,10.408,2943.6,35.902,41.176,38.742,33.805,0.619,1.385,0,28.643
191.27,0,0,9.668,9.556,0.001,10.413,2943.6,35.824,41.129,38.75,33.879,0.617,1.362,0,28.216
191.22,0,0,9.656,9.552,0,10.419,2943.8,35.82,41.129,38.742,33.898,0.618,1.338,0,27.812
191.28,0,0,9.703,9.58,0.001,10.414,2945.4,35.727,41.07,38.742,33.973,0.619,1.331,0,27.514
191.27,0,0,9.68,9.567,0.003,10.391,2943.4,35.727,41.031,38.781,34.004,0.615,1.334,65.715,27.481
151.62,123.84,3.328,9.634,9.526,10.521,10.417,2504,35.648,41.039,38.777,33.988,0.578,1.334,65.715,27.631
146.35,119.91,2.445,9.658,9.542,8.151,10.419,2346,35.734,41.031,38.75,34.016,0.556,1.329,67.964,27.464
146.31,120.52,2.391,9.681,9.569,8.089,10.384,2338,35.828,41.066,38.777,34.078,0.551,1.316,67.964,27.258
146,120.07,2.359,9.634,9.537,7.954,10.39,2336,35.848,41.113,38.742,34.078,0.539,1.324,68.045,27.424
146.02,120.06,2.336,9.618,9.51,7.831,10.387,2335.6,35.902,41.113,38.832,34.145,0.545,1.309,68.045,26.955
145.94,120.14,2.375,9.65,9.542,8.093,10.386,2335.8,36.035,41.184,38.844,34.148,0.535,1.316,68.206,27.023
145.97,119.88,2.273,9.668,9.562,7.999,10.365,2334,36.078,41.207,38.918,34.23,0.528,1.309,68.206,26.834
146.02,120.02,2.297,9.632,9.532,8.062,10.404,2335.8,36.199,41.223,38.918,34.223,0.524,1.316,67.825,27.073
145.94,120.13,2.227,9.644,9.526,7.816,10.421,2337.4,36.246,41.262,38.969,34.23,0.53,1.326,67.825,27.26
145.88,120,2.211,9.687,9.576,4.85,10.414,2333.8,36.301,41.223,38.953,34.23,0.537,1.321,54.092,27.236
156.36,130.38,2.414,9.681,9.582,8.166,10.447,2473.4,36.398,41.277,38.992,34.316,0.551,1.299,54.092,26.72
156.14,130.28,2.32,9.644,9.54,7.899,10.416,2471.8,36.473,41.285,38.996,34.309,0.551,1.314,69.24,26.824
156.06,130.23,2.266,9.67,9.562,7.738,10.41,2469.8,36.5,41.285,39.039,34.332,0.564,1.305,69.24,26.757
156.01,130.18,2.32,9.676,9.574,7.877,10.374,2471.6,36.555,41.297,38.992,34.398,0.567,1.282,68.715,26.311
156.04,130.2,2.211,9.63,9.526,7.814,10.424,2469.8,36.652,41.355,38.957,34.402,0.566,1.28,68.715,26.431
155.96,130.13,2.375,9.613,9.51,7.791,10.409,2473.6,36.645,41.379,38.941,34.48,0.562,1.248,68.839,25.515
155.99,130.26,2.305,9.66,9.547,7.724,10.412,2470,36.664,41.437,38.969,34.477,0.555,1.258,68.839,25.724
156.09,130.33,2.297,9.663,9.561,7.733,10.39,2473.6,36.652,41.465,38.93,34.488,0.556,1.248,68.961,25.724
156.09,130.47,2.187,9.62,9.521,7.823,10.429,2470,36.738,41.465,38.996,34.5,0.557,1.24,68.961,25.59
155.93,130.45,2.25,9.628,9.531,4.569,10.407,2468,36.715,41.516,38.941,34.559,0.566,1.228,57.016,25.257
166.48,140.6,2.336,9.663,9.55,7.899,10.401,2615.4,36.797,41.52,38.953,34.57,0.568,1.226,57.016,25.296
166.24,140.51,2.297,9.657,9.549,7.734,10.399,2608,36.797,41.527,38.996,34.547,0.574,1.244,69.922,25.475
166.11,140.34,2.273,9.608,9.505,7.894,10.413,2605.8,36.891,41.531,38.941,34.652,0.58,1.205,69.922,24.716
166,140.23,2.43,9.615,9.517,7.841,10.414,2607.8,36.902,41.574,38.926,34.652,0.58,1.216,70.201,25.037
166.14,140.44,2.195,9.649,9.539,7.731,10.399,2607.8,36.898,41.613,38.977,34.641,0.581,1.205,70.201,24.784
166.02,140.26,2.359,9.629,9.509,7.976,10.388,2609.6,36.984,41.625,38.949,34.648,0.582,1.202,70.253,24.848
166.08,140.49,2.187,9.586,9.483,7.786,10.432,2607.8,36.984,41.68,38.996,34.66,0.578,1.219,70.253,24.925
166.1,140.39,2.133,9.613,9.512,7.95,10.407,2609.6,37.062,41.719,38.996,34.727,0.573,1.2,70.365,24.47
166.03,140.25,2.141,9.642,9.544,7.651,10.374,2607.8,37.051,41.766,38.992,34.742,0.57,1.203,70.365,24.74
166.16,140.36,2.32,9.604,9.497,11.179,10.424,2607.6,37.145,41.777,39.023,34.738,0.57,1.196,80.441,24.436
156.15,130.21,2.359,9.592,9.483,7.854,10.419,2475.8,37.141,41.805,39.031,34.809,0.568,1.176,80.441,24.245
156.09,130.18,2.25,9.616,9.514,7.784,10.398,2469.6,37.172,41.781,39.074,34.832,0.567,1.201,69.22,24.433
156.26,130.41,2.187,9.632,9.53,7.772,10.399,2469.6,37.164,41.867,39.086,34.82,0.555,1.19,69.22,24.546
156.11,130.38,2.242,9.583,9.476,8.045,10.383,2466,37.164,41.789,39.086,34.898,0.557,1.172,69.486,24.13
155.94,130.38,2.305,9.571,9.472,7.854,10.381,2467.8,37.152,41.867,39.086,34.898,0.553,1.199,69.486,24.42
156.11,130.23,2.242,9.608,9.514,7.827,10.394,2467.8,37.238,41.871,39.156,34.898,0.556,1.198,69.321,24.341
156.06,130.46,2.164,9.616,9.509,7.944,10.377,2465.8,37.234,41.871,39.16,34.887,0.547,1.192,69.321,24.341
156.03,130.13,2.391,9.57,9.467,7.952,10.386,2467.6,37.305,41.883,39.168,34.898,0.552,1.203,69.3,24.503
155.98,130.31,2.281,9.575,9.469,8.034,10.379,2468,37.305,41.926,39.172,34.887,0.588,1.198,69.3,24.458
155.96,130.38,2.195,9.609,9.51,9.354,10.387,2469.6,37.324,41.922,39.172,34.898,0.567,1.174,74.492,24.04
151.06,125.02,2.484,9.613,9.507,7.939,10.378,2400,37.328,41.949,39.168,34.98,0.555,1.17,74.492,23.995
150.94,125.21,2.273,9.577,9.475,7.894,10.401,2397.6,37.324,41.941,39.246,34.98,0.547,1.195,68.536,24.328
150.92,124.98,2.219,9.603,9.495,7.791,10.382,2397.6,37.34,41.98,39.246,34.977,0.548,1.193,68.536,24.283
150.87,125.06,2.305,9.629,9.526,7.727,10.399,2399.6,37.332,41.957,39.254,34.977,0.544,1.179,68.465,23.877
150.94,125.08,2.187,9.611,9.497,7.923,10.401,2397.8,37.316,41.98,39.25,35.062,0.536,1.178,68.465,23.816
150.82,125.02,2.359,9.575,9.469,8.024,10.407,2398.8,37.41,42.02,39.246,35.047,0.542,1.177,68.491,23.933
150.9,124.91,2.242,9.595,9.491,7.933,10.364,2397.6,37.418,42.023,39.246,35.129,0.54,1.152,68.491,23.354
150.91,124.88,2.391,9.622,9.517,7.913,10.403,2395.8,37.422,42.031,39.238,35.148,0.533,1.158,68.528,23.483
150.9,125.06,2.266,9.607,9.505,7.926,10.386,2395.8,37.488,42.078,39.234,35.141,0.531,1.147,68.528,23.32
150.84,125.02,2.297,9.581,9.476,7.831,10.438,2397.8,37.477,42.105,39.25,35.121,0.534,1.164,68.595,23.588
